,Electronic,Experimental,Folk,Hip-Hop,Instrumental,International,Pop,Rock
Electronic,58,6,8,12,4,2,6,4
Experimental,5,18,16,5,22,8,15,11
Folk,1,28,22,0,18,18,6,7
Hip-Hop,23,0,0,66,2,1,6,2
Instrumental,0,12,44,1,31,5,5,2
International,7,2,18,5,0,48,11,9
Pop,14,2,12,18,3,12,33,6
Rock,4,10,1,5,7,1,14,58
