,Electronic,Experimental,Folk,Hip-Hop,Instrumental,International,Pop,Rock
Electronic,55,3,9,17,3,5,3,5
Experimental,12,20,18,6,17,7,2,18
Folk,3,30,23,0,8,20,3,13
Hip-Hop,14,3,3,70,1,5,1,3
Instrumental,4,22,32,1,23,3,5,10
International,5,5,30,9,2,38,4,7
Pop,16,5,11,18,9,12,13,16
Rock,2,6,7,9,9,2,3,62
