,Electronic,Experimental,Folk,Hip-Hop,Instrumental,International,Pop,Rock
Electronic,23,9,14,12,7,9,10,16
Experimental,10,11,12,9,14,15,13,16
Folk,8,14,10,22,8,17,13,8
Hip-Hop,15,14,9,16,11,4,13,18
Instrumental,9,17,10,12,14,21,8,9
International,4,6,15,18,13,11,16,17
Pop,20,10,13,9,10,10,10,18
Rock,17,14,8,14,16,5,13,13
